En una bolsa hay 40 caramelos de frutilla y de menta. 25 son de menta. ¿Cuántos caramelos son de frutilla?,1
Candela tiene 15 caramelos en una bolsa y 13 en una caja. ¿Cuántos caramelos tiene Candela en total?,0
"En una red hay 96 tomates. Si de ese grupo 15 están podridos, ¿cuántos son los tomates que no están podridos?",1
En total hay 11 hamburguesas. Luciana y sus amigos comen 8. ¿Cuántas hamburguesas quedan?,1
En una caja hay 41 dulces. Mónica agrega 8 dulces más. ¿Cuántos dulces hay en total en la caja?,0
Eliana quiere comprar una remera de €30 y una blusa de €50. ¿Cuánto dinero va a gastar Eliana?,0
Para una fiesta se han prepardo 56 bocadillos de jamón y 28 de queso. ¿Cuántos bocadillos más de jamón hay que de queso?,1
Melina tenía 7 hebillas y hoy la abuela le compró 2 nuevas. ¿Cuántas tiene ahora?,0
"Al principio del torneo de tenis había 16 participantes, ahora quedan 4. ¿Cuántos participantes quedaron afuera?",1
"Arriba de la mesa hay 6 vasos, si María y Pedro sacan 4 vasos entre los dos ¿cuántos vasos quedan en la mesa?",1
En la panadería hay 78 panes. Si venden 25. ¿Cuántos panes quedan en la panadería?,1
Si hay 88 alumnos en segundo grado y llegan 8 alumnos más. ¿Cuántos alumnos hay en total?,0
Agustín llenó 13 páginas del álbum de figuritas. Tiene 10 páginas incompletas. ¿Cuántas páginas tiene el álbum?,0
Antonio tenía 57 confites y se comió 24. ¿Cuántos confites le quedan?,1
Mario camina 6 cuadras desde su casa hasta lo de su abuela. La heladería está 5 cuadras más lejos. ¿Cuántas cuadras caminará si va directo de su casa a la heladería?,0
"Si Ulises tiene 15 dulces y Raul tiene 19 dulces, ¿cuántos dulces tienen en total?",0
Valeria tiene 12 pulseritas y le regala 4 a Lucía. ¿Cuántas pulseritas le quedan a Valeria?,1
Augusto tiene 21 tapitas. Para la clase de mañana necesita 27 tapitas. ¿Cuántas tapitas le faltan?,1
